date,state,district,crop_type,crop_species,production
2017-01-01,Johor,Johor Bahru,vegetable,chinese_spinach,17193.179
2017-01-01,Johor,Johor Bahru,vegetable,cucumber,2738.835
2017-01-01,Johor,Johor Bahru,vegetable,dwarf_bitter_gourd,18.09
2017-01-01,Johor,Johor Bahru,vegetable,fourangled_bean,44.48
2017-01-01,Johor,Johor Bahru,vegetable,french_bean,0.0
2017-01-01,Johor,Johor Bahru,vegetable,ladys_finger,1949.821
2017-01-01,Johor,Johor Bahru,vegetable,lettuce,811.893
2017-01-01,Johor,Johor Bahru,vegetable,long_bean,4222.1
2017-01-01,Johor,Johor Bahru,vegetable,mustard,18258.20436
2017-01-01,Johor,Johor Bahru,vegetable,pumpkin,0.0
2017-01-01,Johor,Johor Bahru,vegetable,red_chilli,343.36035
2017-01-01,Johor,Johor Bahru,vegetable,spring_onion,0.0
2017-01-01,Johor,Johor Bahru,vegetable,sweet_shoot,0.0
2017-01-01,Johor,Johor Bahru,vegetable,tomato,0.0
2017-01-01,Johor,Johor Bahru,vegetable,water_spinach,9488.948
2017-01-01,Johor,Johor Bahru,vegetable,wax_gourd,0.0
2017-01-01,Johor,Kluang,cash_crops,cassava,2907.6
2017-01-01,Johor,Kluang,cash_crops,groundnuts,0.0
2017-01-01,Johor,Kluang,cash_crops,sweet_corn,1642.1
2017-01-01,Johor,Kluang,cash_crops,sweet_potato,378.8
2017-01-01,Johor,Kluang,cash_crops,yam,115.8
2017-01-01,Johor,Kluang,cash_crops,yambean,0.0
2017-01-01,Johor,Kluang,cash_crops,yellow_sugar_cane,269.9
2017-01-01,Johor,Kluang,fruit,banana,4327.499
2017-01-01,Johor,Kluang,fruit,cempedak,519.45
2017-01-01,Johor,Kluang,fruit,ciku,68.2
2017-01-01,Johor,Kluang,fruit,dokong,103.09
2017-01-01,Johor,Kluang,fruit,dragon_fruit,544.12
2017-01-01,Johor,Kluang,fruit,duku,0.0
2017-01-01,Johor,Kluang,fruit,durian,4255.7
2017-01-01,Johor,Kluang,fruit,guava,71.2
2017-01-01,Johor,Kluang,fruit,jackfruit,835.774
2017-01-01,Johor,Kluang,fruit,langsat,0.0
2017-01-01,Johor,Kluang,fruit,mango,0.0
2017-01-01,Johor,Kluang,fruit,mangosteen,109.622
2017-01-01,Johor,Kluang,fruit,papaya,144.726
2017-01-01,Johor,Kluang,fruit,pineapple,175141.75
2017-01-01,Johor,Kluang,fruit,pomelo,61.1
2017-01-01,Johor,Kluang,fruit,pulasan,1.35
2017-01-01,Johor,Kluang,fruit,rambutan,680.3754
2017-01-01,Johor,Kluang,fruit,salak,0.1
2017-01-01,Johor,Kluang,fruit,starfruit,177.35
2017-01-01,Johor,Kluang,fruit,sweet_orange,0.0
2017-01-01,Johor,Kluang,fruit,watermelon,11809.0
2017-01-01,Johor,Kluang,herbs,aloe_vera,0.0
2017-01-01,Johor,Kluang,herbs,basil,0.0
2017-01-01,Johor,Kluang,herbs,belalai_gajah,0.0
2017-01-01,Johor,Kluang,herbs,betel_vine,0.0
2017-01-01,Johor,Kluang,herbs,bonglai,0.0
2017-01-01,Johor,Kluang,herbs,cekur,0.0
2017-01-01,Johor,Kluang,herbs,fragrant_lemon_grass,0.0
2017-01-01,Johor,Kluang,herbs,henna,0.0
2017-01-01,Johor,Kluang,herbs,lemon_myrtle,0.0
2017-01-01,Johor,Kluang,herbs,long_jack,0.0
2017-01-01,Johor,Kluang,herbs,misai_kucing,0.0
2017-01-01,Johor,Kluang,herbs,mistletoe_fig,0.0
2017-01-01,Johor,Kluang,herbs,pandan,0.0
2017-01-01,Johor,Kluang,herbs,pegaga,0.0
2017-01-01,Johor,Kluang,herbs,petai,0.0
2017-01-01,Johor,Kluang,herbs,swamp_willow_weed,0.0
2017-01-01,Johor,Kluang,herbs,temu_lawak,0.0
2017-01-01,Johor,Kluang,herbs,tenggek_burung,0.0
2017-01-01,Johor,Kluang,industrial_crops,areca_nut,0.0
2017-01-01,Johor,Kluang,industrial_crops,coconut,3311.831
2017-01-01,Johor,Kluang,industrial_crops,coffee,3281.4078
2017-01-01,Johor,Kluang,industrial_crops,honey_bee,0.0
2017-01-01,Johor,Kluang,industrial_crops,kelulut_bee,0.0723
2017-01-01,Johor,Kluang,industrial_crops,mushroom,88.967
2017-01-01,Johor,Kluang,industrial_crops,roselle,0.0
2017-01-01,Johor,Kluang,spices,asam_gelugor,0.0
2017-01-01,Johor,Kluang,spices,asam_jawa,0.0
2017-01-01,Johor,Kluang,spices,black_pepper,0.0
2017-01-01,Johor,Kluang,spices,calamondin_lime,532.2
2017-01-01,Johor,Kluang,spices,curry_tree,747.1
2017-01-01,Johor,Kluang,spices,ginger,0.0
2017-01-01,Johor,Kluang,spices,greater_galangal,0.0
2017-01-01,Johor,Kluang,spices,kaffir_lime,0.0
2017-01-01,Johor,Kluang,spices,lemon_grass,483.2
2017-01-01,Johor,Kluang,spices,lime,45.2
2017-01-01,Johor,Kluang,spices,pink_cone_ginger,0.0
2017-01-01,Johor,Kluang,spices,turmeric,0.0
2017-01-01,Johor,Kluang,spices,water_celery,0.0
2017-01-01,Johor,Kluang,vegetable,angled_loofah,80.0
2017-01-01,Johor,Kluang,vegetable,birds_eye_chili,31.412
2017-01-01,Johor,Kluang,vegetable,bitter_gourd,1739.289
2017-01-01,Johor,Kluang,vegetable,bottle_gourd,592.056
2017-01-01,Johor,Kluang,vegetable,brinjal,642.649
2017-01-01,Johor,Kluang,vegetable,celery,0.0
2017-01-01,Johor,Kluang,vegetable,chinese_chives,0.0
2017-01-01,Johor,Kluang,vegetable,chinese_kale,715.765
2017-01-01,Johor,Kluang,vegetable,chinese_spinach,461.635
2017-01-01,Johor,Kluang,vegetable,cucumber,1267.297
2017-01-01,Johor,Kluang,vegetable,dwarf_bitter_gourd,13.25
2017-01-01,Johor,Kluang,vegetable,fourangled_bean,0.0
2017-01-01,Johor,Kluang,vegetable,french_bean,0.0
2017-01-01,Johor,Kluang,vegetable,ladys_finger,392.58
2017-01-01,Johor,Kluang,vegetable,lettuce,463.174
2017-01-01,Johor,Kluang,vegetable,long_bean,2552.923
2017-01-01,Johor,Kluang,vegetable,mustard,10636.688
2017-01-01,Johor,Kluang,vegetable,pumpkin,559.4
2017-01-01,Johor,Kluang,vegetable,red_chilli,1669.58
2017-01-01,Johor,Kluang,vegetable,spring_onion,144.425
2017-01-01,Johor,Kluang,vegetable,sweet_shoot,66.0
2017-01-01,Johor,Kluang,vegetable,tomato,0.0
2017-01-01,Johor,Kluang,vegetable,water_spinach,500.8272
2017-01-01,Johor,Kluang,vegetable,wax_gourd,0.0
2017-01-01,Johor,Kota Tinggi,cash_crops,cassava,946.2
2017-01-01,Johor,Kota Tinggi,cash_crops,groundnuts,0.0
2017-01-01,Johor,Kota Tinggi,cash_crops,sweet_corn,14.1
2017-01-01,Johor,Kota Tinggi,cash_crops,sweet_potato,81.9
2017-01-01,Johor,Kota Tinggi,cash_crops,yam,52.6
2017-01-01,Johor,Kota Tinggi,cash_crops,yambean,105.0
2017-01-01,Johor,Kota Tinggi,cash_crops,yellow_sugar_cane,153.0
2017-01-01,Johor,Kota Tinggi,fruit,banana,1076.043
2017-01-01,Johor,Kota Tinggi,fruit,cempedak,168.5
2017-01-01,Johor,Kota Tinggi,fruit,ciku,0.0
2017-01-01,Johor,Kota Tinggi,fruit,dokong,0.0
2017-01-01,Johor,Kota Tinggi,fruit,dragon_fruit,1948.01
2017-01-01,Johor,Kota Tinggi,fruit,duku,200.5
2017-01-01,Johor,Kota Tinggi,fruit,durian,632.3
2017-01-01,Johor,Kota Tinggi,fruit,guava,155.1
2017-01-01,Johor,Kota Tinggi,fruit,jackfruit,356.851
2017-01-01,Johor,Kota Tinggi,fruit,langsat,1.0
2017-01-01,Johor,Kota Tinggi,fruit,mango,45.5
2017-01-01,Johor,Kota Tinggi,fruit,mangosteen,391.039
2017-01-01,Johor,Kota Tinggi,fruit,papaya,13189.05
2017-01-01,Johor,Kota Tinggi,fruit,pineapple,67.8751
2017-01-01,Johor,Kota Tinggi,fruit,pomelo,0.0
2017-01-01,Johor,Kota Tinggi,fruit,pulasan,27.4
2017-01-01,Johor,Kota Tinggi,fruit,rambutan,269.475
2017-01-01,Johor,Kota Tinggi,fruit,salak,2.6
2017-01-01,Johor,Kota Tinggi,fruit,starfruit,1.2
2017-01-01,Johor,Kota Tinggi,fruit,sweet_orange,18.19
2017-01-01,Johor,Kota Tinggi,fruit,watermelon,3122.5
2017-01-01,Johor,Kota Tinggi,herbs,aloe_vera,13.8
2017-01-01,Johor,Kota Tinggi,herbs,basil,0.0
2017-01-01,Johor,Kota Tinggi,herbs,belalai_gajah,0.0
2017-01-01,Johor,Kota Tinggi,herbs,betel_vine,0.0
2017-01-01,Johor,Kota Tinggi,herbs,bonglai,0.0
2017-01-01,Johor,Kota Tinggi,herbs,cekur,0.0
2017-01-01,Johor,Kota Tinggi,herbs,fragrant_lemon_grass,0.0
2017-01-01,Johor,Kota Tinggi,herbs,henna,0.0
2017-01-01,Johor,Kota Tinggi,herbs,lemon_myrtle,0.0
2017-01-01,Johor,Kota Tinggi,herbs,long_jack,0.0
2017-01-01,Johor,Kota Tinggi,herbs,misai_kucing,0.0
2017-01-01,Johor,Kota Tinggi,herbs,mistletoe_fig,0.0
2017-01-01,Johor,Kota Tinggi,herbs,pandan,0.0
2017-01-01,Johor,Kota Tinggi,herbs,pegaga,0.0
2017-01-01,Johor,Kota Tinggi,herbs,petai,0.0
2017-01-01,Johor,Kota Tinggi,herbs,swamp_willow_weed,0.0
2017-01-01,Johor,Kota Tinggi,herbs,temu_lawak,0.0
2017-01-01,Johor,Kota Tinggi,herbs,tenggek_burung,0.0
2017-01-01,Johor,Kota Tinggi,industrial_crops,areca_nut,0.0
2017-01-01,Johor,Kota Tinggi,industrial_crops,coconut,229.12
2017-01-01,Johor,Kota Tinggi,industrial_crops,coffee,0.35
2017-01-01,Johor,Kota Tinggi,industrial_crops,honey_bee,0.0
2017-01-01,Johor,Kota Tinggi,industrial_crops,kelulut_bee,0.39
2017-01-01,Johor,Kota Tinggi,industrial_crops,mushroom,80.37
2017-01-01,Johor,Kota Tinggi,industrial_crops,roselle,0.0
2017-01-01,Johor,Kota Tinggi,spices,asam_gelugor,0.0
2017-01-01,Johor,Kota Tinggi,spices,asam_jawa,0.0
2017-01-01,Johor,Kota Tinggi,spices,black_pepper,0.0
2017-01-01,Johor,Kota Tinggi,spices,calamondin_lime,1049.9
2017-01-01,Johor,Kota Tinggi,spices,curry_tree,0.0
2017-01-01,Johor,Kota Tinggi,spices,ginger,0.0
2017-01-01,Johor,Kota Tinggi,spices,greater_galangal,0.0
2017-01-01,Johor,Kota Tinggi,spices,kaffir_lime,0.0
2017-01-01,Johor,Kota Tinggi,spices,lemon_grass,147.1
2017-01-01,Johor,Kota Tinggi,spices,lime,6.9
2017-01-01,Johor,Kota Tinggi,spices,pink_cone_ginger,16.4
2017-01-01,Johor,Kota Tinggi,spices,turmeric,0.0
2017-01-01,Johor,Kota Tinggi,spices,water_celery,0.0
2017-01-01,Johor,Kota Tinggi,vegetable,angled_loofah,287.185
2017-01-01,Johor,Kota Tinggi,vegetable,birds_eye_chili,8.3752
2017-01-01,Johor,Kota Tinggi,vegetable,bitter_gourd,80.77
2017-01-01,Johor,Kota Tinggi,vegetable,bottle_gourd,68.471
2017-01-01,Johor,Kota Tinggi,vegetable,brinjal,183.42
2017-01-01,Johor,Kota Tinggi,vegetable,celery,0.0
2017-01-01,Johor,Kota Tinggi,vegetable,chinese_chives,142.926
2017-01-01,Johor,Kota Tinggi,vegetable,chinese_kale,1.49
2017-01-01,Johor,Kota Tinggi,vegetable,chinese_spinach,944.3
2017-01-01,Johor,Kota Tinggi,vegetable,cucumber,846.558
2017-01-01,Johor,Kota Tinggi,vegetable,dwarf_bitter_gourd,96.498
2017-01-01,Johor,Kota Tinggi,vegetable,fourangled_bean,97.553
2017-01-01,Johor,Kota Tinggi,vegetable,french_bean,0.0
2017-01-01,Johor,Kota Tinggi,vegetable,ladys_finger,243.616
2017-01-01,Johor,Kota Tinggi,vegetable,lettuce,68.787
2017-01-01,Johor,Kota Tinggi,vegetable,long_bean,1717.507
2017-01-01,Johor,Kota Tinggi,vegetable,mustard,737.282
2017-01-01,Johor,Kota Tinggi,vegetable,pumpkin,106.436
2017-01-01,Johor,Kota Tinggi,vegetable,red_chilli,43.759
2017-01-01,Johor,Kota Tinggi,vegetable,spring_onion,112.4
2017-01-01,Johor,Kota Tinggi,vegetable,sweet_shoot,0.0
2017-01-01,Johor,Kota Tinggi,vegetable,tomato,0.0
2017-01-01,Johor,Kota Tinggi,vegetable,water_spinach,470.54
2017-01-01,Johor,Kota Tinggi,vegetable,wax_gourd,16.55
2017-01-01,Johor,Kulai,cash_crops,cassava,552.9
2017-01-01,Johor,Kulai,cash_crops,groundnuts,0.0
2017-01-01,Johor,Kulai,cash_crops,sweet_corn,0.0
2017-01-01,Johor,Kulai,cash_crops,sweet_potato,309.0
2017-01-01,Johor,Kulai,cash_crops,yam,289.9
2017-01-01,Johor,Kulai,cash_crops,yambean,291.6
2017-01-01,Johor,Kulai,cash_crops,yellow_sugar_cane,21.0
2017-01-01,Johor,Kulai,fruit,banana,690.42
2017-01-01,Johor,Kulai,fruit,cempedak,0.0
2017-01-01,Johor,Kulai,fruit,ciku,0.0
2017-01-01,Johor,Kulai,fruit,dokong,0.0
2017-01-01,Johor,Kulai,fruit,dragon_fruit,2.5
2017-01-01,Johor,Kulai,fruit,duku,0.0
2017-01-01,Johor,Kulai,fruit,durian,368.1
2017-01-01,Johor,Kulai,fruit,guava,12.4
2017-01-01,Johor,Kulai,fruit,jackfruit,0.0
2017-01-01,Johor,Kulai,fruit,langsat,0.0
2017-01-01,Johor,Kulai,fruit,mango,0.0
2017-01-01,Johor,Kulai,fruit,mangosteen,0.0
2017-01-01,Johor,Kulai,fruit,papaya,0.0
2017-01-01,Johor,Kulai,fruit,pineapple,64.386
2017-01-01,Johor,Kulai,fruit,pomelo,0.0
2017-01-01,Johor,Kulai,fruit,pulasan,1.1
2017-01-01,Johor,Kulai,fruit,rambutan,30.6
2017-01-01,Johor,Kulai,fruit,salak,0.0
2017-01-01,Johor,Kulai,fruit,starfruit,0.0
2017-01-01,Johor,Kulai,fruit,sweet_orange,0.0
2017-01-01,Johor,Kulai,fruit,watermelon,0.0
2017-01-01,Johor,Kulai,herbs,aloe_vera,0.0
2017-01-01,Johor,Kulai,herbs,basil,0.0
2017-01-01,Johor,Kulai,herbs,belalai_gajah,0.0
2017-01-01,Johor,Kulai,herbs,betel_vine,0.0
2017-01-01,Johor,Kulai,herbs,bonglai,0.0
2017-01-01,Johor,Kulai,herbs,cekur,0.0
2017-01-01,Johor,Kulai,herbs,fragrant_lemon_grass,39.7
2017-01-01,Johor,Kulai,herbs,henna,0.0
2017-01-01,Johor,Kulai,herbs,lemon_myrtle,0.0
2017-01-01,Johor,Kulai,herbs,long_jack,0.0
2017-01-01,Johor,Kulai,herbs,misai_kucing,0.0
2017-01-01,Johor,Kulai,herbs,mistletoe_fig,0.0
2017-01-01,Johor,Kulai,herbs,pandan,1308.9
2017-01-01,Johor,Kulai,herbs,pegaga,0.0
2017-01-01,Johor,Kulai,herbs,petai,0.0
2017-01-01,Johor,Kulai,herbs,swamp_willow_weed,1.8
2017-01-01,Johor,Kulai,herbs,temu_lawak,0.0
2017-01-01,Johor,Kulai,herbs,tenggek_burung,0.0
2017-01-01,Johor,Kulai,industrial_crops,areca_nut,0.0
2017-01-01,Johor,Kulai,industrial_crops,coconut,42.41
2017-01-01,Johor,Kulai,industrial_crops,coffee,0.0
2017-01-01,Johor,Kulai,industrial_crops,honey_bee,0.0
2017-01-01,Johor,Kulai,industrial_crops,kelulut_bee,0.0
2017-01-01,Johor,Kulai,industrial_crops,mushroom,108.456
2017-01-01,Johor,Kulai,industrial_crops,roselle,0.0
2017-01-01,Johor,Kulai,spices,asam_gelugor,0.0
2017-01-01,Johor,Kulai,spices,asam_jawa,0.0
2017-01-01,Johor,Kulai,spices,black_pepper,0.0
2017-01-01,Johor,Kulai,spices,calamondin_lime,152.7
2017-01-01,Johor,Kulai,spices,curry_tree,6.3
2017-01-01,Johor,Kulai,spices,ginger,0.0
2017-01-01,Johor,Kulai,spices,greater_galangal,149.7
2017-01-01,Johor,Kulai,spices,kaffir_lime,0.0
2017-01-01,Johor,Kulai,spices,lemon_grass,370.8
2017-01-01,Johor,Kulai,spices,lime,2.0
2017-01-01,Johor,Kulai,spices,pink_cone_ginger,29.2
2017-01-01,Johor,Kulai,spices,turmeric,0.0
2017-01-01,Johor,Kulai,spices,water_celery,5.2
2017-01-01,Johor,Kulai,vegetable,angled_loofah,155.01
2017-01-01,Johor,Kulai,vegetable,birds_eye_chili,182.39287
